# ----------------------------------------
# レポートのスナップショット
# アカウント: Default Account for Firebase
# プロパティ: streamerhub
# ----------------------------------------
#  
# 開始日: 20260203
# 終了日: 20260302
アクティブ ユーザー,新規ユーザー数,アクティブ ユーザーあたりの平均エンゲージメント時間,イベント数
468,468,512.207264957265,15164

#  
# 開始日: 20260203
# 終了日: 20260302
ページ タイトルとスクリーン クラス,表示回数,アクティブ ユーザー,イベント数,直帰率
NEWTOWN - MultiView | StreamerHub,695,253,5612,0.41501103752759383
StreamerHub,472,76,880,0.0948905109489051
NEWTOWN | StreamerHub,470,137,5283,0.34560906515580736
NEWTOWN - ギャング [Dear13ro.] | StreamerHub,179,45,1860,0.264
NEWTOWN - ギャング [atroce myrtille] | StreamerHub,90,43,755,0.3709677419354839
NEWTOWN - ギャング [PERSEPHONE] | StreamerHub,26,13,187,0.45
NEWTOWN - Share | StreamerHub,22,16,157,0.4375
NEWTOWN - 警察 | StreamerHub,11,3,106,0.14285714285714285
NEWTOWN - ギャング [SANTA C.L.A.W.S] | StreamerHub,7,4,93,0.25
NEWTOWN - Gang [Dear13ro.] | StreamerHub,5,1,134,0.25
Gon.G GON軍団 - MultiView | StreamerHub,4,4,17,0.75
Multi View gta-neetown-2026 | StreamerHub,3,1,8,0
NEWTOWN - ギャング [どらごん・ぽめらにあん] | StreamerHub,3,2,14,0
Multi View gta-newtown-2026 | StreamerHub,2,2,4,0
Multi View gta-newtown | StreamerHub,1,1,5,0

#  
# 開始日: 20260203
# 終了日: 20260302
ユーザーの最初の参照元 / メディア,アクティブ ユーザー
t.co / referral,379
(direct) / (none),81
facebook.com / referral,4
google / organic,2
m.facebook.com / referral,2

#  
# 開始日: 20260203
# 終了日: 20260302
セッションの参照元 / メディア,セッション
t.co / referral,805
(direct) / (none),204
yahoo / organic,40
google / organic,16
facebook.com / referral,4
m.facebook.com / referral,2

#  
# 開始日: 20260203
# 終了日: 20260302
N 日目,new,returning
0000,0,0
0001,0,0
0002,0,0
0003,0,0
0004,0,0
0005,0,0
0006,0,0
0007,0,0
0008,0,0
0009,0,0
0010,0,0
0011,0,0
0012,0,0
0013,0,0
0014,0,0
0015,0,0
0016,0,0
0017,79,13
0018,101,26
0019,39,26
0020,29,18
0021,46,21
0022,58,26
0023,65,34
0024,11,28
0025,18,25
0026,27,22
0027,0,1

# プラットフォーム上のアクティビティの比較
# 開始日: 20260203
# 終了日: 20260302
プラットフォーム,キーイベント


#  
# 開始日: 20260203
# 終了日: 20260302
市区町村,アクティブ ユーザー
Osaka,35
Sapporo,18
Kobe,15
Shinjuku City,15
Shibuya,14
Sakura,11
Tahara,10
Yokohama,10
Nagoya,9
Fukuoka,7
Hiroshima,7
Kawasaki,7
Minato City,7
Setagaya City,7
Kawaguchi,6
Kyoto,6
Saitama,6
Suginami City,6
Amagasaki,5
Mito,5
Niigata,5
Ota City,5
Sagamihara,5
Sakai,5
Sendai,5
Shizuoka,5
Chiyoda City,4
Fujinomiya,4
Itabashi City,4
Matsudo,4
Obihiro,4
Okayama,4
Takasaki,4
Ayase,3
Hachinohe,3
Iida,3
Kita City,3
Koriyama,3
Koshigaya,3
Nagano,3
Narashino,3
Yokkaichi,3
21570,2
Council Bluffs,2
Forest City,2
Fukuyama,2
Hachioji,2
Iyo,2
Kashiwa,2
Kasukabe,2
Kiryu,2
Kitakyushu,2
Koto City,2
